L,R,C,A,O,S,M,Total,Highest,Lat,Long
74,11,6,1,3,7,0,102,L,31.823065840000027,34.90754148800005
41,161,12,0,125,0,0,339,R,31.810654612000064,34.92903836500005
245,2,3,29,0,2,0,281,L,31.823065840000027,34.95053524300005
35,90,1,1,130,0,1,258,O,31.810654612000064,34.97203212000005
74,57,15,0,70,0,0,216,L,31.810654612000064,35.01502587500005
673,65,10,481,671,2,27,1929,L,31.810654612000064,35.101013385000044
551,477,90,3,157,34,5,1317,L,31.823065840000027,35.12251026300004
1726,774,181,11,361,30,23,3106,L,31.810654612000064,35.14400714000004
1957,2183,341,12,5109,194,287,10083,O,31.810654612000064,35.18700089500004
666,1413,111,6,2079,334,183,4792,O,31.823065840000027,35.208497772000044
2528,2113,314,48,1096,181,85,6365,L,31.810654612000064,35.22999465000004
1955,3908,370,12,1853,697,124,8919,R,31.823065840000027,35.25149152700004
0,0,0,0,0,0,0,0,L,31.823065840000027,35.33747903700004
2,65,0,0,242,0,5,314,O,31.810654612000064,35.40196967000003
33,53,3,0,15,0,0,104,R,31.823065840000027,35.42346654700003
0,0,0,0,0,0,0,0,L,31.810654612000064,35.48795718000002
162,82,11,0,13,0,2,270,L,31.835477068000046,34.714069591000055
16,115,2,0,165,0,3,301,O,31.847888296000065,34.73556646800006
289,96,18,0,17,1,7,428,L,31.835477068000046,34.75706334600005
186,142,36,3,23,0,4,394,L,31.835477068000046,34.80005710100005
524,1579,149,0,838,92,54,3236,R,31.847888296000065,34.821553978000054
184,82,6,2,90,2,13,379,L,31.835477068000046,34.886044611000045
580,210,82,1,19,1,7,900,L,31.847888296000065,34.90754148800005
50,100,17,0,119,0,0,286,O,31.835477068000046,34.92903836500005
0,37,0,0,149,0,1,187,O,31.847888296000065,35.03652275300004
106,5,8,2,9,0,0,130,L,31.835477068000046,35.05801963000005
217,656,62,0,140,46,8,1129,R,31.847888296000065,35.165504018000036
0,78,0,0,502,7,23,610,O,31.835477068000046,35.18700089500004
972,2874,207,14,1701,1254,279,7301,R,31.835477068000046,35.22999465000004
399,1338,59,7,2142,466,192,4603,O,31.847888296000065,35.25149152700004
62,436,56,0,192,30,5,781,R,31.835477068000046,35.31598216000003
3550,4201,358,10,3699,538,218,12574,R,31.872710752000046,34.73556646800006
11,34,4,3,224,0,0,276,O,31.860299524000027,34.75706334600005
906,33,21,1,13,10,0,984,L,31.860299524000027,34.80005710100005
3351,3622,435,11,1640,888,222,10169,R,31.872710752000046,34.821553978000054
1338,988,126,2,453,50,22,2979,L,31.860299524000027,34.84305085600005
871,238,32,0,83,8,5,1237,L,31.872710752000046,34.86454773300005
