Knesset Party ID	Excel Name	Party Name	Knesset	Bloc
18	עם	United Arab List	15	Arab-Israeli Interests
19	פ	Pnina Rosenblum	15	Secular Centre
20	פה	Centre Party	15	Secular Centre
21	פז	Power for Pensioners	15	Sectoral
22	ץ	Tzomet	15	Micro Party
23	קז	Casino Party	15	Micro Party
24	קם	Da'am Workers Party	15	Micro Party
25	קנ	Ale Yarok	15	Sectoral
26	קפ	New Arab Party	15	Micro Party
27	קץ	Tikva	15	Micro Party
28	רם	Natural Law Party	15	Micro Party
29	רק	Green Party	15	Micro Party
30	שס	Shas	15	Orthodox
0	אמת	Labour–Meimad	16	Left Wing
1	ב	National Religious Party	16	Orthodox
2	ג	United Torah Judaism	16	Orthodox
3	ד	Balad	16	Arab-Israeli Interests
4	ו	Hadash–Ta'al	16	Arab-Israeli Interests
5	ז	Za'am	16	Micro Party
6	זנ	Ahavat Yisrael	16	Micro Party
7	ט	Man's Rights in the Family Party	16	Micro Party
8	יש	Shinui	16	Secular Centre
9	כן	Yisrael BaAliyah	16	Sectoral
10	ל	National Union	16	Right Wing
11	ם	One Nation	16	Left Wing
12	מחל	Likud	16	Right Wing
13	מרצ	Meretz-Yachad and the Democratic Choice	16	Left Wing
14	נ	Yisrael Aheret	16	Micro Party
15	נץ	Herut – The National Movement	16	Right Wing
16	עם	United Arab List	16	Arab-Israeli Interests
17	ף	Leader	16	Micro Party
18	פה	Centre Party	16	Micro Party
19	צ	Tzomet	16	Micro Party
20	צף	Progressive National Alliance	16	Micro Party
21	ק	Da'am Workers Party	16	Micro Party
22	קך	Citizen and State	16	Micro Party
23	קנ	Ale Yarok	16	Sectoral
24	קץ	Lahava	16	Micro Party
25	רק	The Greens	16	Micro Party
26	שס	Shas	16	Orthodox
0	אמת	Labour–Meimad	17	Left Wing
1	ג	United Torah Judaism	17	Orthodox
2	ד	Balad	17	Arab-Israeli Interests
3	ה	Brit Olam	17	Micro Party
4	ו	Hadash	17	Arab-Israeli Interests
5	ז	Lehem	17	Micro Party
6	זה	Atid Ehad	17	Micro Party
7	זך	Gil	17	Sectoral
8	חץ	Hetz	17	Micro Party
9	טב	National Union–National Religious Party	17	Right Wing
10	יש	Shinui	17	Micro Party
11	כ	Jewish National Front	17	Micro Party
12	כן	Kadima	17	Secular Centre
13	כץ	Tzomet	17	Micro Party
14	ל	Yisrael Beiteinu	17	Right Wing
15	מחל	Likud	17	Right Wing
16	מרצ	Meretz-Yachad	17	Left Wing
17	נץ	Herut – The National Movement	17	Micro Party
18	עם	United Arab List–Ta'al	17	Arab-Israeli Interests
19	פ	Tafnit	17	Micro Party
20	פז	Lev	17	Micro Party
21	פכ	Oz LaAniyim	17	Micro Party
22	פץ	HaLev	17	Micro Party
23	ף	Leader	17	Micro Party
24	צה	The New Zionism	17	Micro Party
25	ק	Da'am Workers Party	17	Micro Party
26	קז	Justice for All	17	Micro Party
27	קנ	Ale Yarok	17	Sectoral
28	קפ	Arab National Party	17	Micro Party
29	רק	Green Party	17	Sectoral
30	שס	Shas	17	Orthodox
0	אמת	Labour Party	18	Left Wing
1	אר	Or	18	Micro Party
2	ב	The Jewish Home	18	Right Wing
3	ג	United Torah Judaism	18	Orthodox
4	ד	Balad	18	Arab-Israeli Interests
5	ה	The Green Movement–Meimad	18	Micro Party
6	ו	Hadash	18	Arab-Israeli Interests
7	זך	Gil	18	Micro Party
8	חי	Yisrael Hazaka	18	Micro Party
9	ט	National Union	18	Right Wing
10	ים	HaYisraelim	18	Micro Party
11	ינ	Lev LaOlim	18	Micro Party
12	יק	Holocaust Survivors and Ale Yarok Alumni	18	Micro Party
13	כן	Kadima	18	Secular Centre
14	ל	Yisrael Beiteinu	18	Right Wing
15	מחל	Likud	18	Right Wing
16	מרצ	New Movement-Meretz	18	Left Wing
17	נ	Yisrael HaMithadeshet	18	Micro Party
18	נפ	Ahrayut	18	Micro Party
19	נץ	Lazuz	18	Micro Party
20	נר	Lehem	18	Micro Party
21	עם	United Arab List–Ta'al	18	Arab-Israeli Interests
22	פ	Koah LeHashpi'a	18	Micro Party
23	פי	Brit Olam	18	Micro Party
24	פק	Man's Rights in the Family Party	18	Micro Party
25	ץ	Tzomet	18	Micro Party
26	צי	Tzabar	18	Micro Party
27	ק	Da'am Workers Party	18	Micro Party
28	קנ	Ale Yarok	18	Micro Party
29	קפ	Koah HaKesef	18	Micro Party
30	קץ	Leader	18	Micro Party
31	רק	The Greens	18	Micro Party
32	שס	Shas	18	Orthodox
0	אמת	Labour Party	19	Left Wing
1	ג	United Torah Judaism	19	Orthodox
2	ד	Balad	19	Arab-Israeli Interests
3	הי	Moreshet Avot	19	Micro Party
4	הפ	Living with Dignity	19	Micro Party
5	הק	Hope for Change	19	Micro Party
6	ו	Hadash	19	Arab-Israeli Interests
7	ז	Eretz Hadasha	19	Micro Party
8	זך	Dor	19	Micro Party
9	טב	The Jewish Home	19	Right Wing
10	יק	HaYisraelim	19	Micro Party
11	כן	Kadima	19	Secular Centre
